stock_code,top10_ratio_latest,report_count,top10_ratio_std,long_term_institution_count,institution_count_current,turnover_avg,latest_report_date,data_sufficient,filter_mode
301381,77.77,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600803,77.75,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601958,77.67,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301363,77.64,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000895,77.52,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603707,77.43,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
688351,77.4,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603730,77.11,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603708,77.00999999999999,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
300965,76.94999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300833,76.93,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000567,76.92999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301327,76.88000000000001,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688396,76.85,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
301289,76.84,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000550,76.79,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
605162,76.67,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605299,76.64,1,,0.0,2.0,0.0,2025-12-31,False,relaxed
601089,76.63,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600999,76.61,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600406,76.6,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
001311,76.49,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688151,76.49,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688538,76.37,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
301061,76.27000000000001,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
001332,76.25999999999999,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600801,76.22,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
301508,76.22,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603737,76.14,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688563,76.07000000000001,1,,0.0,4.0,0.0,2025-12-04,False,relaxed
601339,75.97,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301215,75.94,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002238,75.91,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
001236,75.86,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
002060,75.84,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
301345,75.73,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
